Number	labels	theta	radius	X	Y	Z	sph_theta	sph_phi	sph_radius	type	
1	Fp1	-17.9	0.456	94.9	30.7	 14	17.9	7.99	101		
2	Fp2	18.1	0.456	96.4	-31.5	14.1	-18.1	7.92	102		
3	F9	-52.9	0.61	57.9	76.6	-34.7	52.9	-19.9	102		
4	F7	-55	0.489	 52	74.2	3.1	 55	1.96	90.7		
5	F3	-45.5	0.292	 52	52.9	56.7	45.5	37.4	93.4		
6	Fz	0.437	0.186	52.4	-0.4	79.2	-0.437	56.5	 95		
7	F4	 46	0.3	53.1	-54.9	55.4	-46	 36	94.4		
8	F8	54.8	0.49	53.6	-76	2.9	-54.8	1.79	 93		
9	F10	52.7	0.613	57.1	-74.9	-34.8	-52.7	-20.3	100		
10	FC5	-77.1	0.378	18.5	80.9	33.5	77.1	 22	89.5		
11	FC1	-66.5	0.13	15.1	34.7	87.3	66.5	66.6	95.1		
12	FC2	66.2	0.136	15.8	-35.8	85.8	-66.2	65.5	94.3		
13	FC6	76.7	0.383	19.9	-84	33.3	-76.7	21.1	92.5		
14	T9	-92.9	0.644	-4.5	 90	-43.9	92.9	-26	100		
15	T7	-97.6	0.522	-11.7	87.4	-6.2	97.6	-4.02	88.4		
16	C3	-109	0.264	-22.8	67.2	64.9	109	42.4	96.2		
17	C4	108	0.27	-21.9	-69.1	 64	-108	41.4	96.7		
18	T8	96.9	0.523	-10.6	-88.2	-6.3	-96.9	-4.06	89.1		
19	T10	93.3	0.646	-5.1	-88.8	-44	-93.3	-26.3	99.2		
20	CP5	-123	0.418	-53.1	82.8	 26	123	14.8	102		
21	CP1	-151	0.236	-66.8	37.1	83.7	151	47.6	113		
22	CP2	149	0.238	-66.3	-39.9	83.6	-149	47.2	114		
23	CP6	121	0.418	-52.4	-86.2	26.7	-121	14.8	104		
24	P9	-132	0.645	-67.1	 75	-49.4	132	-26.1	112		
25	P7	-135	0.536	-74.9	75.6	-12	135	-6.43	107		
26	P3	-149	0.38	-92.6	55.1	42.5	149	21.5	116		
27	Pz	180	0.313	-100	-0.4	66.9	-180	33.7	121		
28	P4	148	0.381	-92.7	-57.3	42.6	-148	21.4	117		
29	P8	135	0.536	-74.9	-76.2	-12.2	-135	-6.51	108		
30	P10	132	0.644	-68.4	-75.8	-49.8	-132	-26	114		
31	O1	-165	0.528	-119	30.8	-11	165	-5.12	123		
32	O2	165	0.529	-119	-31.2	-11.1	-165	-5.16	123		
33	AF7	-35.9	0.472	79.3	57.4	8.6	35.9	5.02	98.3		
34	AF3	-23.3	0.364	82.4	35.5	 41	23.3	24.6	98.6		
35	AF4	24.4	0.364	83.1	-37.7	41.4	-24.4	24.4	100		
36	AF8	35.8	0.473	80.3	-57.9	8.5	-35.8	4.91	99.4		
37	F5	-52.3	0.388	 52	67.4	31.3	52.3	20.2	90.7		
38	F1	-28.7	0.215	52.1	28.5	74.1	28.7	51.3	 95		
39	F2	30.5	0.222	52.7	-31	73.2	-30.5	50.1	95.4		
40	F6	52.7	0.393	53.4	-70	30.8	-52.7	19.3	93.3		
41	FC3	-75.3	0.252	16.5	63.1	64.4	75.3	44.6	91.7		
42	FCz	1.93	0.049	14.8	-0.5	95.5	-1.93	81.2	96.6		
43	FC4	74.8	0.259	17.6	-64.7	63.4	-74.8	43.4	92.3		
44	C5	-102	0.389	-17.6	84.9	31.6	102	 20	92.3		
45	C1	-125	0.15	-26.7	 38	90.8	125	62.9	102		
46	C2	123	0.156	-26	-39.8	89.2	-123	61.9	101		
47	C6	101	0.391	-16.6	-86.3	31.4	-101	19.7	93.3		
48	CP3	-133	0.315	-61	65.7	58.9	133	33.3	107		
49	CP4	131	0.318	-60.1	-68	58.5	-131	32.8	108		
50	P5	-140	0.451	-84.3	70.5	 17	140	8.79	111		
51	P1	-163	0.331	-98.3	29.6	60.2	163	30.4	119		
52	P2	162	0.331	-98.6	-32.1	60.8	-162	30.4	120		
53	P6	139	0.452	-84.3	-72.2	16.9	-139	8.66	112		
54	PO5	-155	0.487	-107	50.3	4.9	155	2.37	119		
55	PO3	-161	0.446	-112	39.6	20.4	161	9.72	121		
56	PO4	161	0.448	-112	-38.3	19.4	-161	9.27	120		
57	PO6	155	0.489	-108	-49.5	4.1	-155	1.98	118		
58	FT7	-76	0.507	20.9	83.6	-1.8	 76	-1.2	86.2		
59	FT8	75.2	0.507	22.4	-85	 -2	-75.2	-1.3	87.9		
60	TP7	-117	0.533	-44.5	87.9	-10.1	117	-5.85	 99		
61	TP8	117	0.533	-43.5	-87	-10	-117	-5.87	97.8		
62	PO7	-151	0.534	-101	57.2	-12.6	151	-6.17	117		
63	PO8	150	0.535	-102	-58.2	-12.9	-150	-6.26	118		
64	POz	180	0.418	-116	-0.3	30.7	-180	14.8	120		
